,광역시도,시군,pop,moon,hong,ahn
0,서울특별시,종로구,102566,42512.0,22325.0,22313.0
1,서울특별시,중구,82852,34062.0,17901.0,19372.0
2,서울특별시,용산구,148157,58081.0,35230.0,32109.0
3,서울특별시,성동구,203175,86686.0,40566.0,45674.0
4,서울특별시,광진구,240030,105512.0,46368.0,52824.0
5,서울특별시,동대문구,236092,98958.0,51631.0,53359.0
6,서울특별시,중랑구,265706,111450.0,56545.0,62778.0
7,서울특별시,성북구,295866,129263.0,57584.0,66518.0
8,서울특별시,강북구,210614,89645.0,42268.0,51669.0
9,서울특별시,도봉구,229233,94898.0,47461.0,55600.0
10,서울특별시,노원구,374213,158167.0,67590.0,96325.0
11,서울특별시,은평구,317275,140180.0,60109.0,72582.0
12,서울특별시,서대문구,212076,93768.0,40513.0,46237.0
13,서울특별시,마포구,256992,117336.0,46547.0,52545.0
14,서울특별시,양천구,310886,133853.0,60814.0,71816.0
15,서울특별시,강서구,397108,175882.0,76601.0,88128.0
16,서울특별시,구로구,278805,121077.0,59194.0,61734.0
17,서울특별시,금천구,155010,67423.0,31106.0,36695.0
18,서울특별시,영등포구,248833,105834.0,53615.0,53994.0
19,서울특별시,동작구,276685,121722.0,54431.0,60305.0
20,서울특별시,관악구,351240,159854.0,59914.0,79495.0
21,서울특별시,서초구,292916,106416.0,74891.0,63977.0
22,서울특별시,강남구,365642,128927.0,97639.0,80201.0
23,서울특별시,송파구,441198,177328.0,98549.0,99018.0
24,서울특별시,강동구,297476,122511.0,65893.0,67499.0
25,부산광역시,종로구,102566,42512.0,22325.0,22313.0
26,부산광역시,중구,82852,34062.0,17901.0,19372.0
27,부산광역시,용산구,148157,58081.0,35230.0,32109.0
28,부산광역시,성동구,203175,86686.0,40566.0,45674.0
29,부산광역시,광진구,240030,105512.0,46368.0,52824.0
30,부산광역시,동대문구,236092,98958.0,51631.0,53359.0
31,부산광역시,중랑구,265706,111450.0,56545.0,62778.0
32,부산광역시,성북구,295866,129263.0,57584.0,66518.0
33,부산광역시,강북구,210614,89645.0,42268.0,51669.0
34,부산광역시,도봉구,229233,94898.0,47461.0,55600.0
35,부산광역시,노원구,374213,158167.0,67590.0,96325.0
36,부산광역시,은평구,317275,140180.0,60109.0,72582.0
37,부산광역시,서대문구,212076,93768.0,40513.0,46237.0
38,부산광역시,마포구,256992,117336.0,46547.0,52545.0
39,부산광역시,양천구,310886,133853.0,60814.0,71816.0
40,부산광역시,강서구,397108,175882.0,76601.0,88128.0
41,부산광역시,구로구,278805,121077.0,59194.0,61734.0
42,부산광역시,금천구,155010,67423.0,31106.0,36695.0
43,부산광역시,영등포구,248833,105834.0,53615.0,53994.0
44,부산광역시,동작구,276685,121722.0,54431.0,60305.0
45,부산광역시,관악구,351240,159854.0,59914.0,79495.0
46,부산광역시,서초구,292916,106416.0,74891.0,63977.0
47,부산광역시,강남구,365642,128927.0,97639.0,80201.0
48,부산광역시,송파구,441198,177328.0,98549.0,99018.0
49,부산광역시,강동구,297476,122511.0,65893.0,67499.0
50,대구광역시,종로구,102566,42512.0,22325.0,22313.0
